z1,z2,z3,z4,z5,z6,z7,z8
-0.52658325,-0.24593632,0.09760502,-0.19103259,-0.47244892,-0.39666736,0.46162054,-0.06605358
-0.07777145,-0.2582132,0.2634988,0.0407801,-0.62283593,-0.5183321,0.42821604,-0.0066890963
-0.513271,-0.33308163,-0.11378866,-0.15646175,-0.45229012,-0.51796424,0.30396104,-0.10490549
-0.60681444,-0.28629106,-0.20259371,-0.32567218,-0.38706312,-0.47379634,0.13221528,0.05356361
-0.121962756,-0.09360984,0.35087985,0.04373543,-0.65197194,-0.45325145,0.4273178,0.12601782
-0.6181848,-0.29804057,-0.15590994,-0.17080589,-0.39889303,-0.47378743,0.28340366,-0.017699178
-0.2367553,-0.37268022,-0.03629391,-0.13812388,-0.53691137,-0.65916425,0.21102215,-0.052757755
-0.49531862,-0.34130648,-0.12327939,-0.12561123,-0.4774182,-0.5404812,0.27086854,0.053581852
-0.36612016,-0.2900085,0.128783,0.098658204,-0.49748358,-0.44172156,0.5364573,-0.061117377
-0.06227436,-0.3911293,0.003764098,0.0020203504,-0.5205353,-0.6971345,0.21759498,-0.14537627
-0.29831076,-0.052624185,0.21851441,0.15035547,-0.61606556,-0.47508022,0.40647373,0.21148232
-0.5907543,-0.05473761,0.087283686,-0.18105862,-0.51817805,-0.43600917,0.32639045,0.14891961
-0.335559,-0.40764835,-0.1268187,0.0074122013,-0.4553673,-0.6163728,0.29712853,-0.11916793
-0.6165238,-0.054803956,-0.12014593,-0.16164091,-0.46542007,-0.5116822,0.10266014,0.2740993
-0.4423415,0.0019848705,0.10729128,-0.27264848,-0.5927963,-0.5142139,0.16044629,0.22332369
-0.254314,-0.20155703,0.13553067,0.2930417,-0.53941965,-0.48695958,0.48078164,0.080312476
-0.5007259,-0.27103817,-0.25396416,-0.21151589,-0.40633386,-0.61899525,0.03398252,0.06981811
-0.2552386,-0.22937012,0.070244044,-0.27418858,-0.59518033,-0.62271917,0.1795518,0.010914418
-0.5390556,-0.019442795,-0.14747997,-0.09875544,-0.4737749,-0.6176793,0.018458951,0.23099329
-0.058307245,-0.5028765,-0.20882782,-0.039332144,-0.32690337,-0.68799496,0.08639713,-0.29940206
-0.30812204,-0.29331115,0.02106598,-0.014376673,-0.57677495,-0.61024857,0.31170312,0.06684438
-0.5671304,-0.31355458,-0.24121694,-0.17175977,-0.34902418,-0.56664824,0.16272984,-0.087133124
-0.3630333,-0.32355982,0.07402447,-0.23501696,-0.55468225,-0.50778884,0.34808403,-0.014159133
-0.24491754,-0.34062135,-0.08364556,0.032575104,-0.51429474,-0.69804716,0.21510303,-0.041140012
-0.37511703,-0.26634085,0.010148388,0.14676133,-0.52823246,-0.54839826,0.40578148,0.06888252
0.0015553464,-0.482113,-0.049027387,0.05442392,-0.4115888,-0.6643975,0.22758406,-0.27393892
-0.66005635,-0.23504375,-0.03970029,-0.19959377,-0.37655172,-0.3931201,0.3903469,-0.045123357
-0.28474757,-0.09010288,0.16074485,-0.030250086,-0.64959973,-0.57881457,0.27972695,0.177037
-0.5557593,-0.39727345,-0.21165057,-0.25839332,-0.3551325,-0.47446495,0.22627717,-0.103613004
-0.5387557,-0.3689691,-0.33281627,-0.242274,-0.2598979,-0.5400969,0.073399924,-0.1475309
-0.23548745,-0.3798145,0.0424105,-0.28973234,-0.5136609,-0.57344294,0.26406077,-0.16379897
-0.4635597,-0.22597814,-0.17784086,0.043649144,-0.46682814,-0.6529192,0.1671653,0.09369544
-0.5710735,-0.26491,-0.03430062,-0.24728239,-0.4707889,-0.44670284,0.3298843,-0.009941274
-0.39348167,-0.24847814,0.11627679,-0.12942255,-0.583458,-0.4848013,0.40249032,0.0541627
-0.518677,-0.054905962,-0.055844616,-0.029673474,-0.52940243,-0.57752675,0.15893713,0.26301005
-0.24022593,-0.27916583,-0.1172485,-0.15064137,-0.509279,-0.7371727,0.04961792,-0.024549684
-0.57572216,-0.1217351,-0.13318497,-0.2868571,-0.4594354,-0.521639,0.054905117,0.23819089
-0.32453468,-0.29907292,0.10430603,-0.025155379,-0.57626224,-0.51420945,0.42826805,0.00055664027
-0.5690926,-0.33000708,-0.065975115,-0.07866779,-0.3998245,-0.43411225,0.42361945,-0.11759752
-0.03320045,-0.26401767,0.35163257,-0.1341738,-0.5963926,-0.44935188,0.43696404,-0.09250621
-0.68581086,-0.2766565,-0.2036785,-0.34506986,-0.30953172,-0.38631532,0.19291945,-0.03418679
-0.38324004,-0.4262473,0.020583574,-0.19561851,-0.3614836,-0.47809374,0.4131571,-0.27917156
-0.5278777,-0.3856456,-0.11495112,-0.27195418,-0.42487356,-0.45475903,0.29280183,-0.048099678
-0.18409331,-0.204616,0.34661746,-0.024784133,-0.58408815,-0.38794425,0.53348345,-0.024010526
-0.56197315,-0.26455396,-0.049816284,-0.09103471,-0.4722095,-0.4819981,0.3662638,0.015451794
-0.59419477,-0.12464243,-0.2476455,-0.0744672,-0.40096414,-0.5985669,0.045357298,0.15638682
-0.64597374,-0.15469806,-0.05301838,-0.16847704,-0.45910203,-0.45545378,0.30006745,0.07289147
-0.5913354,-0.20143592,-0.24600959,-0.29607487,-0.38010642,-0.5354954,0.0073286076,0.14134173
-0.63486665,-0.26173252,-0.11698124,-0.30517638,-0.40950528,-0.42868704,0.24422728,0.031032525
-0.65084547,-0.2065112,-0.21436691,-0.06681456,-0.38387296,-0.51874936,0.19550404,0.09619385
-0.3258419,-0.29358953,0.19451426,-0.23899381,-0.53380406,-0.42751285,0.45184156,-0.11883751
-0.4536167,-0.30721784,-0.071974665,-0.23800033,-0.51940715,-0.54545957,0.20888434,0.1274266
-0.59466076,-0.36022097,-0.25973612,-0.31845278,-0.31489974,-0.46503776,0.13894066,-0.063078865
-0.67805713,-0.11527007,-0.13472722,-0.20498562,-0.4231407,-0.47524616,0.1662892,0.15091665
-0.12676048,-0.4368119,-0.10625864,-0.1514586,-0.45855936,-0.6930881,0.124682754,-0.17944029
-0.5486139,-0.4180578,-0.2609302,-0.2899331,-0.2599067,-0.45176446,0.19423218,-0.22053319
-0.5775651,-0.21751033,-0.1100779,-0.26278046,-0.47555432,-0.49599066,0.17416869,0.16137235
-0.44246158,-0.17829944,0.08277779,0.16915503,-0.5193506,-0.4561923,0.47640356,0.09972107
-0.52995336,-0.08454479,0.03550732,-0.036872398,-0.5533223,-0.5123167,0.3101103,0.17224954
-0.4387993,-0.36172867,-0.0017195599,-0.1917636,-0.4768802,-0.46762642,0.39009663,-0.1652007
-0.4850197,-0.40554574,-0.104281455,-0.105656475,-0.36418313,-0.48869774,0.3762492,-0.22164758
-0.17214832,-0.44086266,-0.18517134,0.046204694,-0.41304046,-0.7059407,0.16044877,-0.16150232
-0.42915297,-0.3597599,-0.26407877,-0.20402882,-0.38851658,-0.6364202,0.062570944,-0.048066054
-0.39290178,-0.39026085,-0.07253119,-0.21100987,-0.51039076,-0.5533262,0.25624445,0.024082845
-0.65714836,-0.06068891,-0.18801644,-0.28415364,-0.39067712,-0.47852585,0.008322172,0.23450632
-0.38632572,-0.40581074,-0.080343224,-0.11114424,-0.4645425,-0.5601781,0.3243144,-0.13545994
-0.3473152,-0.25716898,-0.102787614,-0.057093233,-0.53255934,-0.68813455,0.15558293,0.054506637
-0.7437476,-0.093040496,-0.17626946,-0.29390407,-0.3365459,-0.40941086,0.13404304,0.08678545
-0.5221234,-0.37925056,-0.1939974,-0.041378792,-0.37254915,-0.53714406,0.3015865,-0.09332438
-0.57569456,-0.20830925,-0.0965766,-0.11905855,-0.48586762,-0.51641226,0.24625036,0.16305417
-0.5598089,-0.36179096,-0.199774,-0.24530593,-0.40010005,-0.49614805,0.20413198,-0.004013643
-0.48278508,-0.34312603,0.084015265,-0.126039,-0.39442924,-0.37221894,0.5210003,-0.19217058
-0.6672383,-0.25523221,-0.16751021,0.022356058,-0.34192127,-0.432259,0.3588493,0.0027380174
-0.0296718,-0.31572795,0.17533976,-0.090067066,-0.60821545,-0.61463696,0.29024172,-0.076997995
-0.31744862,-0.386756,0.029441934,-0.13614646,-0.52211666,-0.54705274,0.3665493,-0.09812061
